# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
2.876850000000000240e-01 5.052201658938657934e-10 5.371373910777707640e-10 5.802019142491531371e-10
2.985039999999999916e-01 5.414559625646664625e-10 5.760016508725628274e-10 6.226292925280215202e-10
3.097289999999999766e-01 5.804287748116809111e-10 6.178255792185375388e-10 6.683234998490693198e-10
3.213759999999999950e-01 6.223263974210907849e-10 6.628174723946161075e-10 7.174915753821529517e-10
3.334619999999999806e-01 6.673303199529450956e-10 7.111784953217721569e-10 7.703419334152524194e-10
3.460019999999999762e-01 7.157702364064181926e-10 7.632665793417314857e-10 8.273001795255937233e-10
3.590130000000000265e-01 7.678430843854208301e-10 8.193008859059848342e-10 8.886365597371703124e-10
3.725140000000000118e-01 8.234118444655082535e-10 8.791685196140176723e-10 9.544302663227981014e-10
3.865219999999999767e-01 8.832417832403903119e-10 9.436644191380545053e-10 1.025368037046542009e-09
4.010569999999999968e-01 9.476692186907696859e-10 1.013167570624289192e-09 1.101881886733043209e-09
4.161389999999999811e-01 1.016636435820774985e-09 1.087655515392656146e-09 1.183885805462320715e-09
4.317880000000000051e-01 1.090935650488684469e-09 1.167948776527024738e-09 1.272364682176554040e-09
4.480250000000000066e-01 1.170991169275391796e-09 1.254532356202649530e-09 1.367830767295567045e-09
4.648729999999999807e-01 1.256735575265618428e-09 1.347559119922820591e-09 1.470550239823766986e-09
4.823549999999999782e-01 1.349066538459629711e-09 1.447855608037927679e-09 1.581398947687889996e-09
5.004939999999999944e-01 1.448624713855851554e-09 1.556088284831742221e-09 1.701106136755942499e-09
5.193149999999999711e-01 1.555481899813197880e-09 1.672014329217141331e-09 1.829534026894195864e-09
5.388439999999999896e-01 1.670552099416100891e-09 1.796795346112110713e-09 1.967935051647742750e-09
5.591070000000000206e-01 1.794696391518978294e-09 1.931476785179967703e-09 2.117467043565120499e-09
5.801319999999999810e-01 1.927783197721597924e-09 2.076231330591899329e-09 2.278397991740180646e-09
6.019480000000000386e-01 2.070774573357608580e-09 2.232073039706491941e-09 2.451874812784389467e-09
6.245840000000000281e-01 2.225080063805380086e-09 2.400380495593330625e-09 2.639405985311751024e-09
6.480719999999999814e-01 2.391041402425571569e-09 2.581581524847800176e-09 2.841561954174730155e-09
6.724430000000000129e-01 2.569426395937204791e-09 2.776588546980570503e-09 3.059463148249738217e-09
6.977299999999999613e-01 2.762031313755970806e-09 2.987303571822727008e-09 3.295151149190879733e-09
7.239679999999999449e-01 2.969502870286266011e-09 3.214526436286769196e-09 3.549593928082186169e-09
7.511929999999999996e-01 3.192409244842830708e-09 3.458973741861055681e-09 3.823793594244229553e-09
7.794419999999999682e-01 3.433222456220601088e-09 3.723279313899111462e-09 4.120573326417971405e-09
8.087520000000000264e-01 3.692941849971328306e-09 4.008618300253519726e-09 4.441355093630250761e-09
8.391659999999999675e-01 3.971635792134397926e-09 4.315278122360698931e-09 4.786748521671892348e-09
8.707219999999999960e-01 4.272783695945698454e-09 4.646924799714656806e-09 5.160720707114668291e-09
9.034659999999999913e-01 4.598101939308455120e-09 5.005561260430172030e-09 5.565554389344682280e-09
9.374409999999999688e-01 4.946620131198307174e-09 5.390418612284101161e-09 6.000948653254143033e-09
9.726930000000000298e-01 5.323352228869412882e-09 5.806846360044142472e-09 6.472566961703939347e-09
1.009269999999999889e+00 5.730710719901094279e-09 6.257534992852312828e-09 6.983624906996991175e-09
1.047230000000000105e+00 6.166891409878973411e-09 6.741020732485380057e-09 7.533118562925478850e-09
1.086610000000000076e+00 6.638144626447103490e-09 7.263906720259280861e-09 8.128195279678891566e-09
1.127469999999999972e+00 7.147814723333514590e-09 7.830055111941849998e-09 8.773265524417154541e-09
1.169869999999999965e+00 7.694318291239444112e-09 8.438180366536771075e-09 9.467717476291374187e-09
1.213859999999999939e+00 8.284028804698244444e-09 9.095203943632545006e-09 1.021919859992240301e-08
1.259509999999999907e+00 8.922052341455721968e-09 9.806815851190044661e-09 1.103417950363095137e-08
1.306869999999999976e+00 9.606800241196064898e-09 1.057195215986301122e-08 1.191236896323760002e-08
1.356020000000000003e+00 1.034476808851122049e-08 1.139770743732537363e-08 1.286184634736513969e-08
1.407010000000000094e+00 1.114302016601564427e-08 1.229191571599640886e-08 1.389152975478501591e-08
1.459920000000000107e+00 1.200133310053053350e-08 1.325507405313892694e-08 1.500288096400339321e-08
1.514820000000000055e+00 1.292475448255988717e-08 1.429305389600811072e-08 1.620308298240740649e-08
1.571779999999999955e+00 1.392371539008523591e-08 1.541724691023914202e-08 1.750490996554795860e-08
1.630889999999999951e+00 1.499895160959479413e-08 1.662940752916666508e-08 1.891147219327508916e-08
1.692220000000000057e+00 1.615288327717381200e-08 1.793274360946176847e-08 2.042760792336424755e-08
1.755859999999999976e+00 1.740113562111483234e-08 1.934449565485347005e-08 2.207231575452148300e-08
1.821890000000000009e+00 1.874676820551337843e-08 2.086871809802605351e-08 2.385170522953579015e-08
1.890400000000000080e+00 2.018763809810497285e-08 2.250449180923743905e-08 2.576654043765459568e-08
1.961489999999999956e+00 2.174610668829933923e-08 2.427605677449839564e-08 2.784378101445533264e-08
2.035250000000000004e+00 2.342855320543072269e-08 2.619167799785279511e-08 3.009411000969511927e-08
2.111779999999999990e+00 2.522502381387731155e-08 2.824214947563658162e-08 3.251065854501334690e-08
2.191199999999999815e+00 2.716767162783681139e-08 3.046263489892664113e-08 3.513191848057439324e-08
2.273600000000000065e+00 2.926817473803464356e-08 3.286700918659655930e-08 3.797557488320567314e-08
2.359100000000000197e+00 3.150327975977479654e-08 3.543297606161462845e-08 4.102117118780756506e-08
2.447810000000000041e+00 3.391838942219603658e-08 3.820978382677446324e-08 4.432336535747612032e-08
2.539860000000000007e+00 3.652915216490789610e-08 4.121585137385647257e-08 4.790498299296675029e-08
2.635369999999999990e+00 3.931185918551622929e-08 4.442921059668655067e-08 5.174683556535479797e-08
2.734469999999999956e+00 4.231131250439176940e-08 4.789894895843957199e-08 5.590431897532667268e-08
2.837299999999999933e+00 4.555195674196442852e-08 5.165335681135494049e-08 6.041202222578262648e-08
2.943999999999999950e+00 4.900464501815136391e-08 5.566546696630846626e-08 6.524645061751678901e-08
3.054710000000000036e+00 5.271300999982445256e-08 5.998351169319301279e-08 7.046386044130698114e-08
3.169579999999999842e+00 5.671591217546987778e-08 6.465295118223938765e-08 7.611753971021019561e-08
3.288769999999999971e+00 6.099132051708614142e-08 6.965328004329119715e-08 8.219231164167498629e-08
3.412450000000000205e+00 6.557014256688199774e-08 7.502169464859472385e-08 8.873435341298830643e-08
3.540770000000000195e+00 7.050952166238521447e-08 8.082302654571832409e-08 9.581951003889831029e-08
3.673919999999999852e+00 7.578460146801175808e-08 8.703586817495937704e-08 1.034335460980776860e-07
3.812079999999999913e+00 8.140476044454406286e-08 9.367472665012262433e-08 1.116001409097678983e-07
3.955439999999999845e+00 8.746168767582086282e-08 1.008428457857235961e-07 1.204388458750519543e-07
4.104180000000000383e+00 9.394428110404896898e-08 1.085344308896709801e-07 1.299530548362885293e-07
4.258519999999999861e+00 1.008284233181543965e-07 1.167293798453965963e-07 1.401315676183827738e-07
4.418660000000000032e+00 1.082397323229611979e-07 1.255691861983215587e-07 1.511388571244513994e-07
4.584819999999999673e+00 1.161818147647951550e-07 1.350647777591217374e-07 1.629992232091412269e-07
4.757240000000000357e+00 1.245561361906621243e-07 1.451181009640764181e-07 1.756190824807995240e-07
4.936130000000000351e+00 1.335597371035395192e-07 1.559491048590552522e-07 1.892524149928741793e-07
5.121760000000000090e+00 1.432284619303434768e-07 1.676069570602575561e-07 2.039678570590537618e-07
5.314359999999999751e+00 1.533814287687375689e-07 1.799013465482733377e-07 2.195717382984371878e-07
5.514210000000000278e+00 1.642842906842205725e-07 1.931326448293834991e-07 2.364128939437403099e-07
5.721569999999999823e+00 1.759929532995659284e-07 2.073741420134875441e-07 2.545903752606229215e-07
5.936729999999999841e+00 1.882344436873596751e-07 2.223354895642364782e-07 2.738033003722018245e-07
6.159980000000000011e+00 2.013307331788672880e-07 2.383821921063920283e-07 2.944777766179825391e-07
6.391619999999999635e+00 2.153727382895780999e-07 2.556281934945285161e-07 3.167644225762645048e-07
6.631980000000000430e+00 2.300838505355578057e-07 2.737784991112749980e-07 3.403552201560330344e-07
6.881380000000000052e+00 2.457376370702196997e-07 2.931500137487694445e-07 3.656315292249293478e-07
7.140150000000000219e+00 2.624945152072901214e-07 3.139396142280968076e-07 3.928444853284634747e-07
7.408660000000000245e+00 2.800481966003756729e-07 3.358153184436017509e-07 4.216452874476651945e-07
7.687260000000000204e+00 2.985977656300022803e-07 3.590158278685575347e-07 4.523346046219246239e-07
7.976340000000000430e+00 3.184191824312888074e-07 3.838722422800921324e-07 4.853262513063400251e-07
8.276289999999999480e+00 3.392220133099533760e-07 4.100729849252347250e-07 5.202918526252405500e-07
8.587519999999999598e+00 3.610543032054778173e-07 4.376874029095554628e-07 5.573504558998152833e-07
8.910450000000000870e+00 3.843393878478752808e-07 4.672197492863667651e-07 5.971234125682904765e-07
9.245530000000000470e+00 4.088115991860805350e-07 4.983826883762939135e-07 6.393117080590562757e-07
9.593209999999999127e+00 4.342645091476826000e-07 5.309562478520200416e-07 6.836982383804349769e-07
9.953960000000000363e+00 4.613567795377180205e-07 5.657224863367532786e-07 7.312523523921824439e-07
1.032830000000000048e+01 4.899082543692438336e-07 6.025029093912757719e-07 7.818033567262032445e-07
1.071669999999999945e+01 5.193590800646897701e-07 6.406571083567669012e-07 8.346376298360336321e-07
1.111969999999999992e+01 5.506383659759220442e-07 6.812986444110919799e-07 8.911396907552647739e-07
1.153780000000000072e+01 5.836848421490845595e-07 7.243815275856863435e-07 9.513021590596000953e-07
1.197170000000000023e+01 6.173758535863801356e-07 7.685790698545962385e-07 1.013546223804740569e-06
1.242190000000000083e+01 6.530734182728431511e-07 8.155510242564626002e-07 1.079963552646391552e-06
1.288899999999999935e+01 6.908967051519468427e-07 8.654678217443304840e-07 1.150835412779275586e-06
1.337369999999999948e+01 7.292055655958847224e-07 9.163691534778124939e-07 1.223774393820436119e-06
1.387659999999999982e+01 7.696609712762163850e-07 9.702991017607896088e-07 1.301383065422512976e-06
1.439850000000000030e+01 8.124428178348562555e-07 1.027499965364566039e-06 1.384051271588939851e-06
1.493989999999999974e+01 8.556811267847741775e-07 1.085662058777072945e-06 1.468839801381423683e-06
1.550179999999999936e+01 9.009267486268003215e-07 1.146743968927084341e-06 1.558344706578515603e-06
1.608470000000000155e+01 9.486237621416556941e-07 1.211338009661561184e-06 1.653405421300403616e-06
1.668959999999999866e+01 9.971398142354255625e-07 1.277397876748428533e-06 1.751381476344986577e-06
1.731719999999999970e+01 1.047444541491799845e-06 1.346170621765720503e-06 1.853977696674678408e-06
1.796839999999999904e+01 1.100361153743064406e-06 1.418747141210628587e-06 1.962722082588534715e-06
1.864410000000000167e+01 1.154222639294418871e-06 1.492939716605918880e-06 2.074661771391461083e-06
1.934519999999999840e+01 1.209400421746320897e-06 1.569257651914045919e-06 2.190545071140572051e-06
2.007270000000000110e+01 1.267304843609423071e-06 1.649589958346234084e-06 2.313051813603814148e-06
2.082750000000000057e+01 1.326613934184757442e-06 1.732193091542647996e-06 2.439755252925982995e-06
2.161070000000000135e+01 1.386889931544048218e-06 1.816466831545338610e-06 2.569832323305087701e-06
2.242340000000000089e+01 1.450001224611121441e-06 1.904957823285507249e-06 2.707010570607717441e-06
2.326660000000000039e+01 1.514889365613963316e-06 1.996237520241262714e-06 2.849215888076715567e-06
2.414160000000000039e+01 1.580045058553433629e-06 2.088173020678393915e-06 2.993261161271462869e-06
2.504939999999999856e+01 1.648080525933316299e-06 2.184445344754816842e-06 3.144734339313410118e-06
2.599139999999999873e+01 1.718481557850564919e-06 2.284334075671310384e-06 3.302564908218576128e-06
